sexo,empleo,nivel_sueldo,rango_edad,valor
2,1,3,15-19 | 40-49,1248434
2,1,3,15-19 | 50-59,1489224
2,1,3,15-19 | >60,1595671
2,1,3,20-29 | 20-29,546494
2,1,3,20-29 | 30-39,995325
2,1,3,20-29 | 40-49,1212690
2,1,3,20-29 | 50-59,1453480
2,1,3,20-29 | >60,1559927
2,1,3,30-39 | 30-39,448831
2,1,3,30-39 | 40-49,666196
2,1,3,30-39 | 50-59,906986
2,1,3,30-39 | >60,1013433
2,1,3,40-49 | 40-49,217365
2,1,3,40-49 | 50-59,458155
2,1,3,40-49 | >60,564602
2,1,3,50-59 | 50-59,240790
2,1,3,50-59 | >60,347237
2,1,3,>60 | >60,106447
,,,,.
2,1,4,15-19 | 15-19,5751
2,1,4,15-19 | 20-29,180728
2,1,4,15-19 | 30-39,371833
2,1,4,15-19 | 40-49,506552
2,1,4,15-19 | 50-59,603991
2,1,4,15-19 | >60,645817
2,1,4,20-29 | 20-29,174977
2,1,4,20-29 | 30-39,366082
2,1,4,20-29 | 40-49,500801
2,1,4,20-29 | 50-59,598240
2,1,4,20-29 | >60,640066
2,1,4,30-39 | 30-39,191105
2,1,4,30-39 | 40-49,325824
2,1,4,30-39 | 50-59,423263
2,1,4,30-39 | >60,465089
2,1,4,40-49 | 40-49,134719
2,1,4,40-49 | 50-59,232158
2,1,4,40-49 | >60,273984
2,1,4,50-59 | 50-59,97439
2,1,4,50-59 | >60,139265
2,1,4,>60 | >60,41826
,,,,.
2,1,5,15-19 | 15-19,2291
2,1,5,15-19 | 20-29,61353
2,1,5,15-19 | 30-39,119845
2,1,5,15-19 | 40-49,150799
2,1,5,15-19 | 50-59,183248
2,1,5,15-19 | >60,201105
2,1,5,20-29 | 20-29,59062
2,1,5,20-29 | 30-39,117554
2,1,5,20-29 | 40-49,148508
2,1,5,20-29 | 50-59,180957
2,1,5,20-29 | >60,198814
2,1,5,30-39 | 30-39,58492
2,1,5,30-39 | 40-49,89446
2,1,5,30-39 | 50-59,121895
2,1,5,30-39 | >60,139752
2,1,5,40-49 | 40-49,30954
2,1,5,40-49 | 50-59,63403
2,1,5,40-49 | >60,81260
2,1,5,50-59 | 50-59,32449
2,1,5,50-59 | >60,50306
2,1,5,>60 | >60,17857
,,,,.
2,2,0,15-19 | 15-19,8446786
2,2,0,15-19 | 20-29,13316980
2,2,0,15-19 | 30-39,14418627
2,2,0,15-19 | 40-49,15349263
2,2,0,15-19 | 50-59,16577976
2,2,0,15-19 | >60,22125273
2,2,0,20-29 | 20-29,4870194
2,2,0,20-29 | 30-39,5971841
2,2,0,20-29 | 40-49,6902477
2,2,0,20-29 | 50-59,8131190
2,2,0,20-29 | >60,13678487
2,2,0,30-39 | 30-39,1101647
2,2,0,30-39 | 40-49,2032283
2,2,0,30-39 | 50-59,3260996
2,2,0,30-39 | >60,8808293
2,2,0,40-49 | 40-49,930636
2,2,0,40-49 | 50-59,2159349
2,2,0,40-49 | >60,7706646
2,2,0,50-59 | 50-59,1228713
2,2,0,50-59 | >60,6776010
2,2,0,>60 | >60,5547297
,,,,.
2,2,1,15-19 | 15-19,1668386
2,2,1,15-19 | 20-29,4849577
2,2,1,15-19 | 30-39,6996307
2,2,1,15-19 | 40-49,8494637
2,2,1,15-19 | 50-59,9843284
2,2,1,15-19 | >60,11120810
2,2,1,20-29 | 20-29,3181191
2,2,1,20-29 | 30-39,5327921
2,2,1,20-29 | 40-49,6826251
2,2,1,20-29 | 50-59,8174898
2,2,1,20-29 | >60,9452424
2,2,1,30-39 | 30-39,2146730
